Luas lantai (m2),jenis dinding,jenis lantai,kepemilikan ftbab,sumber ir minum,sumber penerangan,bahan bakar,Banyak ART,outcome
150,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Miskin
24,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
54,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
63,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
72,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
84,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
72,1. Tembok,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
78,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
20,1. Tembok,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
108,3. Kayu/papan,1. Marmer/granit,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
40,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",8. Mata air tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,8,Miskin
117,1. Tembok,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
72,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
72,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
84,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,8,Tidak miskin
112,4. Ayaman bambu,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
54,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
72,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,3,Tidak miskin
63,1. Tembok,8. Tanah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
63,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
54,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
63,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
84,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
96,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,"2. Elpiji 5,5 kg/blue gas",4,Tidak miskin
35,1. Tembok,6. Semen/bata merah,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
20,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,4. Bukan listrik,10. Kayu bakar,5,Tidak miskin
63,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,5. Sumur terlindung,4. Bukan listrik,10. Kayu bakar,6,Tidak miskin
54,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
60,1. Tembok,7. Bambu,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
52,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
150,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
90,3. Kayu/papan,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
66,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
72,1. Tembok,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,4,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
20,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,2,Tidak miskin
63,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
150,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,9,Tidak miskin
108,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
56,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
30,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Miskin
28,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
77,4. Ayaman bambu,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
150,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
90,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
120,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
56,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
63,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
36,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
36,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Miskin
54,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
63,1. Tembok,6. Semen/bata merah,6. Lainnya,6. Sumur tak terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,6,Miskin
96,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
54,1. Tembok,5. Kayu/papan,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
24,3. Kayu/papan,7. Bambu,6. Lainnya,6. Sumur tak terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Miskin
30,3. Kayu/papan,7. Bambu,6. Lainnya,5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,5,Tidak miskin
54,1. Tembok,6. Semen/bata merah,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
60,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,7,Miskin
54,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Miskin
48,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",10. Air hujan,1. Listrik PLN dengan meteran,10. Kayu bakar,9,Miskin
96,7. Lainnya,6. Semen/bata merah,6. Lainnya,10. Air hujan,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
54,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",10. Air hujan,1. Listrik PLN dengan meteran,10. Kayu bakar,9,Miskin
42,1. Tembok,6. Semen/bata merah,6. Lainnya,10. Air hujan,2.Listrik PLN tanpa meteran,10. Kayu bakar,4,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
104,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
60,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",10. Air hujan,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
56,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",10. Air hujan,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Miskin
18,4. Ayaman bambu,7. Bambu,6. Lainnya,10. Air hujan,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Miskin
48,1. Tembok,6. Semen/bata merah,6. Lainnya,10. Air hujan,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Miskin
30,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
24,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Tidak miskin
35,3. Kayu/papan,7. Bambu,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,2,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Miskin
42,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Miskin
88,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
63,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
28,5. Batang kayu,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,10,Miskin
24,4. Ayaman bambu,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",5. Sumur terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,7,Miskin
84,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
68,1. Tembok,2. Keramik,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
32,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
20,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
48,1. Tembok,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
96,1. Tembok,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,4,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
82,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
30,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
84,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,6,Tidak miskin
22,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,4,Tidak miskin
42,5. Batang kayu,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
48,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
30,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,2.Listrik PLN tanpa meteran,7. Minyak tanah,3,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
48,1. Tembok,6. Semen/bata merah,6. Lainnya,6. Sumur tak terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,9,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,8. Mata air tak terlindung,2.Listrik PLN tanpa meteran,10. Kayu bakar,8,Tidak miskin
84,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",6. Sumur tak terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
96,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
35,3. Kayu/papan,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
34,1. Tembok,6. Semen/bata merah,6. Lainnya,2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
98,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Miskin
190,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
28,3. Kayu/papan,7. Bambu,6. Lainnya,3. Leding,2.Listrik PLN tanpa meteran,10. Kayu bakar,4,Miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,9,Miskin
45,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
